,Unnamed: 0.1,Unnamed: 0,listing_type,unit_description,detailed_url,latitude,longitude,unit_address,unit_address_street,unit_city,unit_zipcode,beds,baths,area,price,unit_number
0,0.0,0.0,nested,Riverbank,/apartments/new-york-ny/riverbank/5Xj5k4/,40.761242,-73.99777,"560 W 43rd St, New York, NY",560 W  43rd St   Apt 6E,New York,10036,,,,,
1,1.0,1.0,nested,The Capitol,/apartments/new-york-ny/the-capitol/9gq5Q2/,40.744976,-73.99104,"776 6th Ave, New York, NY",776 6th Ave # 27M,New York,10001,,,,,
2,2.0,2.0,nested,Waterside,/apartments/new-york-ny/waterside/97QdBH/,40.73736,-73.9732,"25 Waterside Plz, New York, NY",25 Waterside Plz  # 10-21G,New York,10010,,,,,
3,3.0,3.0,nested,Pearl House,/apartments/new-york-ny/pearl-house/229S/,40.706818,-74.00567,"160 Water St, New York, NY",160 Water St   # 1728d511c,New York,10038,,,,,
4,4.0,4.0,nested,Avalon Bowery Place,/apartments/new-york-ny/avalon-bowery-place/5XVHKv/,40.724564,-73.991486,"11 E 1st St, New York, NY",11 E  1st St # 812b1b3f8,New York,10003,,,,,
5,5.0,5.0,nested,21 Chelsea,/apartments/new-york-ny/21-chelsea/5XjKmx/,40.741943,-73.994995,"120 W 21st St, New York, NY",120 W  21st St   Apt 412,New York,10011,,,,,
6,6.0,6.0,nested,The Sagamore,/apartments/new-york-ny/the-sagamore/7Tf7/,40.789577,-73.97325,"189 W 89th St, New York, NY",189 W  89th St   Apt 11M,New York,10024,,,,,
7,7.0,7.0,nested,19 Dutch,/apartments/new-york-ny/19-dutch/B3qnH3/,40.709946,-74.00739,"19 Dutch St, New York, NY",19 Dutch St   # 46H,New York,10038,,,,,
8,8.0,8.0,nested,Anagram Columbus Circle,/apartments/new-york-ny/anagram-columbus-circle/5jJLJ5/,40.76908,-73.98216,"1 W 60th St, New York, NY",1 W  60th St # 7F,New York,10023,,,,,
9,9.0,9.0,nested,The Chelsea,/apartments/new-york-ny/the-chelsea/5XT2qW/,40.744576,-73.99493,"160 W 24th St, New York, NY",160 W  24th St   # 1-05N,New York,10011,,,,,
10,10.0,10.0,nested,The Oriana,/apartments/manhattan-ny/the-oriana/5XWNCh/,40.75568,-73.96353,"420 E 54th St, New York, NY",420 E  54th St   Apt 210,New York,10022,,,,,
11,11.0,11.0,nested,Anagram Nomad,/apartments/new-york-ny/anagram-nomad/9hJFty/,40.744823,-73.9861,"10 E 29th St, New York, NY",10 E  29th St   # 5E,New York,10016,,,,,
12,12.0,12.0,nested,Two Lincoln Square,/apartments/manhattan-ny/two-lincoln-square/9gpqwm/,40.773006,-73.98051,"60 W 66th St, New York, NY",60 W  66th St   # 29H,New York,10023,,,,,
